#,項目號碼,項目說明,製造商,上次採購價格,供應商最新報價
867,06-0041310D0,SW CRL DC/DC PXM1310CDM-G003 QFN-40 PB_FREE,INFINEON,USD 1.5000,USD 1.8500
868,06-0041471X0,SW REG. DC/DC MP1471AGJ-Z(4.5~16V/500kHz/3A) TSOT-23 PB_FREE,MPS,USD 0.0693,USD 0.0693
869,06-004150110,SW REG. DC/DC AP1501-K5LA(1.23~37V/150Khz/3A) TO263-5L PB_FREE,ANACHIP,USD 0.4850,USD 0.4850
870,06-004150111,SW REG. DC/DC AP1501A-K5L-13(1.23~37V/150Khz/5A) TO263-5L PB_FREE,ANACHIP,USD 0.6864,USD 0.6864
871,06-0041504Q0,*SW CRL DC/DC UP1504TSU8 PSOP-8L PB_FREE,UPI,USD 0.1370,USD 0.1370
872,06-004151311,SW REG. DC/DC AP1501-33K5L(3.3V/150Khz/3A) TO263-5L PB_FREE,ANACHIP,NTD 17.0000,NTD 17.0000
873,06-004151511,SW REG. DC/DCAP1501-50K5L(5V/150Khz/3A) TO263-5L PB_FREE,ANACHIP,USD 0.4850,USD 0.4850
874,06-004152030,*SW REG. DC/DC AP1520SA(3.6~23V/300Khz/2A) SOP8L PB_FREE,ANACHIP,NTD 13.0000,NTD 13.0000
875,06-004152530,SW REG. DC/DC ZT1525S SOP8L(4~24V/200Khz~2.5MHz/3A)  PB_FREE,ZILLTEK,USD 0.2520,USD 0.2520
876,06-004152670,*SW REG DC/DC AT1526P11U(2.5~6V/1MHz/2A) SOP-8 PB_FREE,GMT,USD 0.0900,USD 0.0900
877,06-004152970,*SW REG DC/DC AT1529F11U(2.5~6V/1MHz/3.2A) SOP-8(FD) PB_FREE,GMT,USD 0.1350,USD 0.1350
878,06-004156330,*SW CRL DC/DC UP1563PSAC SOP-14 PB_FREE,UPI,USD 0.2080,USD 0.2080
879,06-004160160,SW REG. DC/DC MP1601GTF-Z(2.3~5.5V/2.2MHz/1A) SOT563-6 PB_FREE,MPS,USD 0.0770,USD 0.0770
880,06-0041610D0,SW CRL DC/DC PXE1610CDN-G003 QFN-48 PB_FREE,INFINEON,USD 1.7000,USD 1.7000
881,06-004165360,SW REG. DC/DC MP1653GTF-Z(4.2~17V/800kHz/3A) SOT563,MPS,USD 0.0748,USD 0.0649
882,06-004165361,SW REG. DC/DC MP1653HGTF(4.2~17V/1.2MHz/3A) SOT563,MPS,USD 0.0704,USD 0.0704
883,06-004189AM0,SW REG. DC/DC SC189AULTRT(2.9~5.5V/2.5MHz/1.5A) MLPD-UT6 PB_FREE,SEMTECH,USD 0.3200,USD 0.3200
884,06-0041964J6,*SW REG DC/DC G5196R41D(2.95~5.5V/200kHz~2MHz/6A)TQFN3X3-16 PB_FREE,GMT,USD 0.2300,USD 0.2300
885,06-0042082M0,SW REG DC/DC SMB208ANT-2019L(4.5~16V/500~1000KHz/1~3A) MQFN-20 PB_FREE,Qualcomm,USD 0.4500,USD 0.4500
886,06-0042092M0,SW REG DC/DC SMB209ANT-2080L(4.5~16V/500~1000KHz/4~6A) MQFN-20 PB_FREE,Qualcomm,USD 0.4500,USD 0.4500
887,06-0042145D0,SW REG. DC/DC MP2145GD-Z(2.8~5.5V/1.2MHz/6A) QFN-12 PB_FREE,MPS,USD 0.2200,USD 0.2200
888,06-0042146D0,POWER STAGE 4.25-16V 60A INFINEON TDA21460 PQFN-41,INFINEON,USD 1.3300,USD 1.3300
889,06-0042146D1,POWER STAGE 4.25-16V 60A INFINEON TDA21462 PQFN-41,INFINEON,USD 1.3300,USD 1.3300
890,06-0042227J0,SW CRL DC/DC G2227RA1U TQFN5X5-32 PB_FREE,GMT,USD 0.6800,USD 0.9300
891,06-004237580,SW CRL DC/DC(PoE) TPS23753APWR TSSOP-14 PB_FREE,TI,,USD 0.7500
892,06-004241200,*SW REG. DC/DC TPS2412DR(3~16.5V/) SOIC-8 PB_FREE,TI,,
893,06-0042589W0,SW CRL DC/DC bq25895 WQFN-24 PB_FREE,TI,,
894,06-004262000,*SW REG. DC/DC SC2620 SOIC16 PB_FREE,SEMTECH,USD 0.5200,USD 0.5200
895,06-004262100,*SW CRL DC/DC SC2621ASTRT SO-14 PB_FREE,SEMTECH,USD 0.2650,USD 0.2650
896,06-004264801,SW REG DC/DC 2*Switcher+2*LDO LM26480SQ-AA/NOPB WQFN24 PB_FREE,TI,USD 0.9200,USD 0.9200
897,06-0042955D0,SW CRL DC/DC MP2955AGQK QFN-48 PB_FREE,MPS,,
898,06-0043350D0,SW CRL DC/DC LTC3350EUHF#PBF QFN38 PB_FREE,LINEAR,,USD 3.9500
899,06-004340630,SW REG. DC/DC AP34063S8L-13(3~40V/100Khz/1.6A) SOP-8L PB_FREE,DIODE,,
900,06-0043447D0,*SW REG DC/DC IR3447MTRPBF(1.5~21V/1.5MHz/25A) PQFN-33 PB_FREE,INFINEON,USD 1.4000,USD 1.4000
901,06-0043448D0,SW REG DC/DC IR3448MTRPBF(1.5~21V/300K~1.5MHz/16A) PQFN-33 PB_FREE,INFINEON,,
902,06-0043541D0,SW REG DC/DC IR35411MTRPBF(4.25~16V/1.5MHz/60A) PQFN-40 PB_FREE,INFINEON,,
903,06-0043551U0,SW CRL DC/DC IR3551MTRPBF PQFN-28 PB_FREE,IRF,USD 0.9400,USD 0.9400
904,06-0043564D8,*SW CRL DC/DC IR3564BMSY01TRP-G QFN40 PB_FREE(Synology紅點)(for DRIC2L4),IRF,USD 1.1300,USD 1.1300
905,06-0043570D8,SW CRL DC/DC IR3570AMTRPBF QFN40 PB_FREE,IRF,,
906,06-0043663W0,*SW CRL DC/DC RT3663BM WQFN-52L,RICHTEK,USD 0.5230,USD 0.5230
907,06-0043663W1,SW CRL DC/DC RT3663BR WQFN-52L,RICHTEK,USD 0.5230,USD 0.5230
908,06-0043816D0,SW REG DC/DC IR38163MTRPBF(16V/30A) PQFN-26 PB_FREE,INFINEON,,USD 1.9200
909,06-0043830D0,SW REG. DC/DC MPM3830(1.2V/3A) QFN-20 PB_FREE,MPS,USD 0.6600,USD 0.6600
910,06-0043847D0,*SW REG. DC/DC IR3847(5~21V/300kHz~1.5MHz/25A) 5x6 PQFN-33 PB_FREE,IR,USD 1.9800,USD 1.9800
911,06-0043894D0,*SW REG. DC/DC IR3894(5~21V/300kHz~1.5MHz/12A)  5x6 PQFN-17 PB_FREE,IR,USD 1.1500,USD 1.1500
912,06-0043899D0,*SW REG. DC/DC IR3899MTRPBF(1~21V/300kHz~1.5MHz/9A) PQFN-17 PB_FREE,IR,USD 0.9000,USD 0.9000
